"ano","area","total"
2009,"Engenharia Elétrica","623965804"
2009,"Engenharia Mecânica","487758217"
2009,"Engenharia Mecatrônica","515382"
2009,"Engenharia Naval e Oceânica","49502821"
2009,"Engenharia Nuclear","114148638"
2009,"Engenharia Química","657681974"
2009,"Engenharia Sanitária","533422923"
2009,"Engenharia Textil","10200"
2009,"Farmácia","668713177"
2009,"Farmacologia","237960964"
2009,"Filosofia","64249375"
2009,"Física","1168803614"
2009,"Fisiologia","407650135"
2009,"Fisioterapia e Terapia Ocupacional","43560470"
2009,"Fonoaudiologia","15322575"
2009,"Genética","1030199430"
2009,"Geociências","865310154"
2009,"Geografia","106374400"
2009,"História","110927244"
2009,"Historia Natural","2100"
2009,"Imunologia","436473334"
2009,"Letras","106059566"
2009,"Lingüística","82847061"
2009,"Matemática","300989354"
2009,"Medicina","1240207362"
2009,"Medicina Veterinária","1608562190"
2009,"Microbiologia","575967498"
2009,"Microeletrônica","283277331"
2009,"Morfologia","207174765"
2009,"Multidisciplinar","481589323"
2009,"Museologia","616698"
2009,"Nutrição","264005331"
2009,"Oceanografia","263909902"
2009,"Odontologia","164663374"
2009,"Parasitologia","261265294"
2009,"Planejamento Urbano e Regional","111850941"
2009,"Probabilidade e Estatística","50755156"
2009,"Psicologia","208320481"
2009,"Química","1696842939"
2009,"Química Industrial","2239850"
2009,"Recursos Florestais e Engenharia Florestal","323505055"
2009,"Recursos Pesqueiros e Engenharia de Pesca","421222811"
2009,"Relações Internacionais","314784"
2009,"Relações Públicas","1200"
2009,"Robótica, Mecatrônica e Automação","20400"
2009,"Saúde Coletiva","558766477"
2009,"Serviço Social","42899306"
2009,"Sociologia","117886779"
2009,"Tecnologia e Inovação","142364048"
2009,"Teologia","3768161"
2009,"Turismo","27367506"
2009,"Zoologia","205991373"
2009,"Zootecnia","573307694"
2009,NULL,"558851024"
2010,"Administração","303125503"
2010,"Administração Hospitalar","9600"
2010,"Administração Rural","46941"
2010,"Agronomia","3180944970"
2010,"Antropologia","239807465"
2010,"Arqueologia","1018814030"
2010,"Arquitetura e Urbanismo","69467670"
2010,"Artes","70415206"
2010,"Astronomia","438395094"
2010,"Biodiversidade e Recursos Naturais","64700"
2010,"Bioética","18952"
2010,"Biofísica","108901011"
2010,"Biologia Geral","154254432"
2010,"Biomedicina","125662364"
2010,"Bioquímica","1039563770"
2010,"Biotecnologia","119637943"
2010,"Botânica","689398002"
2010,"Ciência da Computação","584746363"
2010,"Ciência da Informação","29815134"
2010,"Ciência e Tecnologia de Alimentos","1051460054"
2010,"Ciência Política","69082871"
2010,"Ciências","193179635"
2010,"Ciências Ambientais","256831626"
2010,"Ciências Atuarias","5640"
2010,"Ciências Sociais","11447560"
2010,"Complexo da Defesa","2400"
2010,"Comunicação","64335454"
2010,"Defesa","3007867"
2010,"Demografia","6170407"
2010,"Desenho de Moda","1335342"
2010,"Desenho de Projetos","5040"
2010,"Desenho Industrial","57158101"
2010,"Diplomacia","1800"
2010,"Direito","50595170"
2010,"Divulgação Científica","132230315"
2010,"Ecologia","966508441"
2010,"Economia","196044347"
2010,"Economia Doméstica","10077866"
2010,"Educação","506550743"
2010,"Educação Física","88705890"
2010,"Energia","300"
2010,"Enfermagem","77873852"
2010,"Engenharia Aeroespacial","284531236"
2010,"Engenharia Agrícola","297517449"
2010,"Engenharia Biomédica","106125316"
2010,"Engenharia Cartografica","6960"
2010,"Engenharia Civil","260845390"
2010,"Engenharia de Armamentos","2400"
2010,"Engenharia de Energia","44560780"
2010,"Engenharia de Materiais e Metalúrgica","511888519"
2010,"Engenharia de Minas","425985749"
2010,"Engenharia de Produção","131678417"
2010,"Engenharia de Transportes","102966800"
2010,"Engenharia Elétrica","1121928851"
2010,"Engenharia Mecânica","458910843"
2010,"Engenharia Mecatrônica","512998"
2010,"Engenharia Naval e Oceânica","102447045"
2010,"Engenharia Nuclear","111466298"
2010,"Engenharia Química","707708730"
2010,"Engenharia Sanitária","469997751"
2010,"Engenharia Textil","5100"
2010,"Estudos Sociais","18100"
2010,"Farmácia","607793322"
2010,"Farmacologia","327556094"
2010,"Filosofia","129477471"
2010,"Física","1067770520"
2010,"Fisiologia","657425389"
2010,"Fisioterapia e Terapia Ocupacional","37069506"
2010,"Fonoaudiologia","47236108"
2010,"Fontes Alternativas de Energia","1440"
2010,"Genética","785496512"
2010,"Geociências","1865043526"
2010,"Geografia","180594239"
2010,"História","136507372"
2010,"Historia Natural","62458"
2010,"Imunologia","799906965"
2010,"Letras","137790273"
2010,"Lingüística","107267393"
2010,"Matemática","187063798"
2010,"Medicina","1711713675"
2010,"Medicina Veterinária","939857086"
2010,"Microbiologia","417895064"
2010,"Microeletrônica","268587273"
2010,"Morfologia","152952004"
2010,"Mudanças Climáticas","1800"
2010,"Multidisciplinar","333798487"
2010,"Museologia","27797579"
2010,"Nutrição","168457668"
2010,"Oceanografia","302499688"
2010,"Odontologia","179471692"
2010,"Parasitologia","449714601"
2010,"Planejamento Urbano e Regional","119830200"
2010,"Probabilidade e Estatística","36721442"
2010,"Psicologia","269077395"
2010,"Química","1692245591"
2010,"Química Industrial","2714604"
2010,"Recursos Florestais e Engenharia Florestal","509545495"
2010,"Recursos Pesqueiros e Engenharia de Pesca","800697710"
2010,"Relações Internacionais","162026"
2010,"Relações Públicas","3240"
2010,"Robótica, Mecatrônica e Automação","136260"
2010,"Saúde Coletiva","710118389"
2010,"Serviço Social","65295522"
2010,"Sociologia","167429622"
2010,"Tecnologia e Inovação","339457181"
2010,"Tecnologias Ambientais","7564844"
2010,"Tecnologias Médicas e da Saúde","58004138"
2010,"Tecnologias nas áreas Aeronáutica e Aeroespacial","2313575"
2010,"Tecnologias para o Desenvolvimento Sustentável","14119642"
2010,"Teologia","9180818"
2010,"Turismo","5713159"
2010,"Zoologia","273306454"
2010,"Zootecnia","598966166"
2010,NULL,"587983164"
2011,"Administração","273646151"
2011,"Administração Hospitalar","24340"
2011,"Administração Rural","27120"
2011,"Agronomia","2209629272"
2011,"Antropologia","115390603"
2011,"Áreas Tecnológicas de Física e Matemática","33700"
2011,"Áreas Tecnológicas de Química e Geociências","54960"
2011,"Arqueologia","45061078"
2011,"Arquitetura e Urbanismo","30672301"
2011,"Artes","35548809"
2011,"Astronomia","85184211"
2011,"Biodiversidade e Recursos Naturais","90160"
2011,"Bioética","13440"
2011,"Biofísica","203146793"
2011,"Biologia Geral","168567884"
2011,"Biomedicina","10584181"
2011,"Bioquímica","812511626"
2011,"Biotecnologia","384411994"
2011,"Biotecnologia (Tecnologias)","191180"
2011,"Botânica","540354216"
2011,"Ciência da Computação","1150228599"
2011,"Ciência da Informação","38479498"
2011,"Ciência e Tecnologia de Alimentos","1034752027"
2011,"Ciência Política","193622852"
2011,"Ciências","59572995"
2011,"Ciências Ambientais","328298730"
2011,"Ciências Atuarias","10440"
2011,"Ciências Sociais","22594129"
2011,"Comunicação","55101179"
2011,"Decoração","2400"
2011,"Defesa","7806449"
2011,"Demografia","5210637"
2011,"Desenho de Moda","3230091"
