id,value
Almadina (BA),0
Anagé (BA),0
Arataca (BA),0
Aurelino Leal (BA),0
Barra do Choça (BA),0
Barro Preto (BA),4
Belmonte (BA),0
Belo Campo (BA),0
Bom Jesus da Serra (BA),0
Buerarema (BA),0
Caatiba (BA),0
Caculé (BA),0
Camacan (BA),0
Canavieiras (BA),8
Candiba (BA),0
Cândido Sales (BA),0
Caraíbas (BA),0
Caravelas (BA),20
Coaraci (BA),0
Condeúba (BA),0
Cordeiros (BA),0
Dário Meira (BA),0
Encruzilhada (BA),0
Eunápolis (BA),1
Firmino Alves (BA),0
Floresta Azul (BA),0
Guajeru (BA),0
Guaratinga (BA),0
Ibicaraí (BA),0
Ibicuí (BA),0
Ibirapuã (BA),0
Iguaí (BA),0
Ilhéus (BA),5102
Itabela (BA),0
Itabuna (BA),1221
Itagimirim (BA),0
Itaju do Colônia (BA),0
Itajuípe (BA),0
Itamaraju (BA),0
Itambé (BA),0
Itanhém (BA),0
Itapé (BA),0
Itapebi (BA),0
Itapetinga (BA),14
Itapitanga (BA),0
Itarantim (BA),0
Itororó (BA),0
Jacaraci (BA),0
Jucuruçu (BA),0
Jussari (BA),0
Lajedão (BA),0
Licínio de Almeida (BA),0
Macarani (BA),0
Maetinga (BA),0
Maiquinique (BA),0
Mascote (BA),0
Medeiros Neto (BA),0
Mortugaba (BA),0
Mucuri (BA),1
Nova Canaã (BA),0
Nova Viçosa (BA),0
Pau Brasil (BA),0
Pindaí (BA),0
Piripá (BA),0
Planalto (BA),0
Poções (BA),0
Porto Seguro (BA),4
Potiraguá (BA),0
Prado (BA),0
Presidente Jânio Quadros (BA),0
Ribeirão do Largo (BA),0
Santa Cruz Cabrália (BA),0
Santa Cruz da Vitória (BA),0
Santa Luzia (BA),0
São José da Vitória (BA),0
Sebastião Laranjeiras (BA),0
Teixeira de Freitas (BA),0
Tremedal (BA),0
Una (BA),0
Urandi (BA),0
Uruçuca (BA),0
Vereda (BA),0
Vitória da Conquista (BA),3687
Abadia dos Dourados (MG),0
Abaeté (MG),0
Abre Campo (MG),0
Acaiaca (MG),0
Açucena (MG),0
Água Boa (MG),0
Água Comprida (MG),0
Aguanil (MG),0
Águas Formosas (MG),0
Águas Vermelhas (MG),0
Aimorés (MG),0
Aiuruoca (MG),0
Alagoa (MG),0
Albertina (MG),0
Além Paraíba (MG),0
