"grande_area","modalidade","linha_de_fomento","valor"
"Ciências Sociais Aplicadas","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","883968917"
"Ciências da Saúde","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","882979000"
"Ciências Humanas","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","878400000"
"Ciências da Saúde","PJF - Pós-Doutorado Junior FIOCRUZ","Bolsas de Pós-doutorado","860843109"
"Ciências Agrárias","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","838493320"
"Ciências Agrárias","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","838373403"
"Ciências Humanas","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","837426531"
"Lingüística, Letras e Artes","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","829540251"
"Ciências Agrárias","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","827910000"
"Outra","IC - Iniciação Científica","Bolsas de Iniciação Científica","796220151"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","789648727"
"Tecnologias","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","781560000"
"Ciências Biológicas","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","779070000"
"Ciências Exatas e da Terra","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","772127665"
"Ciências Agrárias","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","765683078"
"Ciências Sociais Aplicadas","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","752853400"
"Ciências da Saúde","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","741610000"
"Ciências Exatas e da Terra","PD - Pós-doutorado","Bolsas de Pós-doutorado","735594577"
"Ciências Sociais Aplicadas","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","725075226"
"Ciências Biológicas","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","715395150"
"Ciências Biológicas","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","704494694"
"Engenharias","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","702731000"
"Ciências Agrárias","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","700690000"
"Ciências Humanas","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","688110000"
"Lingüística, Letras e Artes","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","672792116"
"Ciências Biológicas","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","664949530"
"Ciências Agrárias","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","663474400"
"Ciências Humanas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","651091000"
"Ciências da Saúde","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","644960179"
"Engenharias","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","644444500"
"Ciências Biológicas","PD - Pós-doutorado","Bolsas de Pós-doutorado","644046373"
"Outra","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","637642080"
"Ciências Biológicas","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","635666430"
"Ciências Sociais Aplicadas","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","624223590"
"Engenharias","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","620204900"
"Outra","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","618178538"
"Ciências Biológicas","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","614109107"
"Ciências Sociais Aplicadas","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","613069812"
"Ciências Biológicas","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","609302500"
"Tecnologias","IC - Iniciação Científica","Bolsas de Iniciação Científica","604522720"
"Lingüística, Letras e Artes","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","603960000"
"Ciências Agrárias","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","601923580"
"Ciências Humanas","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","599530254"
"Ciências Exatas e da Terra","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","596336004"
"Ciências Humanas","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","593763200"
"Engenharias","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","588327048"
"Ciências Exatas e da Terra","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","585410000"
"Outra","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","584460000"
"Ciências da Saúde","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","584103413"
"Lingüística, Letras e Artes","GDE - Doutorado no Exterior","Bolsas de Doutorado","579225280"
"Ciências Agrárias","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","570421560"
"Ciências Exatas e da Terra","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","570248888"
"Ciências Exatas e da Terra","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","556338340"
"Lingüística, Letras e Artes","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","548676303"
"Ciências Exatas e da Terra","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","546115203"
"Indefinido","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","544472488"
"Ciências da Saúde","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","522711800"
"Ciências da Saúde","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","521839800"
"Ciências Agrárias","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","521584593"
"Lingüística, Letras e Artes","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","515155653"
"Ciências Humanas","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","508031767"
"Ciências Exatas e da Terra","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","507615000"
"Ciências Agrárias","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","500320145"
"Ciências Exatas e da Terra","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","500164842"
"Ciências Sociais Aplicadas","PDI - Pós-Doutorado Empresarial","APOIO A PROJETOS DE PESQUISA","496870000"
"Engenharias","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","488100400"
"Ciências Agrárias","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","484650000"
"Engenharias","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","483391394"
"Ciências Agrárias","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","472295000"
"Ciências Exatas e da Terra","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","466353000"
