"grande_area","area","subarea","valor"
"Engenharias","Engenharia Elétrica","Automação Eletrônica de Processos Elétricos e Industriais","2883206256"
"Ciências Exatas e da Terra","Química","Química","2878746387"
"Engenharias","Engenharia Elétrica","Engenharia Elétrica","2829243622"
"Ciências Exatas e da Terra","Física","Física","2810174681"
"Outra","Divulgação Científica","Divulgação Científica","2755842037"
"Ciências Exatas e da Terra","Química","Química dos Produtos Naturais","2755389345"
"Engenharias","Engenharia Química","Petróleo e Petroquímica","2731512856"
"Lingüística, Letras e Artes","Letras","Literaturas Estrangeiras Modernas","2716779816"
"Engenharias","Engenharia Química","Engenharia de Separações e Termodinâmica","2658233800"
"Ciências Exatas e da Terra","Física","Áreas Clássicas de Fenomenologia e suas Aplicações","2654293160"
"Engenharias","Engenharia Química","Processos Bioquímicos","2639355599"
"Engenharias","Engenharia Nuclear","Tecnologia dos Reatores","2637039825"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Energia de Biomassa Florestal","2631907761"
"Ciências Exatas e da Terra","Física","Física Atômica e Molecular","2621314682"
"Ciências Humanas","Psicologia","Psicologia Cognitiva","2609153580"
"Ciências Exatas e da Terra","Física","Prop. Óticas e Espectrosc. da Mat. Condens; Outras Inter. da Mat. com Rad. e Part.","2593347399"
"Ciências Sociais Aplicadas","Economia","Economia do Bem-Estar Social","2586302390"
"Lingüística, Letras e Artes","Artes","Educação Artística","2578554618"
"Ciências da Saúde","Enfermagem","Enfermagem na Gestão e Gerenciamento","2576790058"
"Ciências Agrárias","Agronomia","Entomologia Agrícola","2464472678"
"Engenharias","Engenharia Sanitária","Saneamento Básico","2438189130"
"Ciências da Saúde","Medicina","Cardiologia","2415711076"
"Ciências Sociais Aplicadas","Economia","Economia Industrial","2411982404"
"Ciências da Saúde","Farmácia","Avaliação e analises toxicológicas","2408342515"
"Engenharias","Engenharia Aeroespacial","Dinâmica de Vôo","2406642221"
"Engenharias","Engenharia de Produção","Engenharia Econômica","2399172437"
"Ciências Humanas","Educação","Administração Educacional","2390835100"
"Ciências Biológicas","Biofísica","Radiologia e Fotobiologia","2388919387"
"Engenharias","Engenharia Elétrica","Circuitos Elétricos,  Magnéticos e Eletrônicos","2381174897"
"Ciências Sociais Aplicadas","Economia","Teoria Econômica","2358721723"
"Lingüística, Letras e Artes","Artes","Artes do Vídeo","2351425792"
"Ciências Humanas","Filosofia","Lógica","2346897788"
"Ciências Biológicas","Fisiologia","Fisiologia Comparada","2345375292"
"Engenharias","Engenharia Civil","Engenharia Civil","2332303185"
"Engenharias","Engenharia Mecânica","Engenharia Mecânica","2327849799"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Probabilidade","2317623621"
"Engenharias","Engenharia de Materiais e Metalúrgica","Cerâmicos","2317622117"
"Ciências Exatas e da Terra","Física","Física dos Fluídos, Física de Plasmas e Descargas Elétricas","2308350162"
"Engenharias","Engenharia Civil","Estruturas de Concreto","2296944037"
"Ciências Biológicas","Microbiologia","Microbiologia Médica","2268881697"
"Ciências da Saúde","Nutrição","Dietética","2264565911"
"Ciências Humanas","Ciência Política","Teoria Política","2261862658"
"Ciências Humanas","Antropologia","Antropologia das Populações Afro-Brasileiras","2260462892"
"Lingüística, Letras e Artes","Artes","Fotografia","2252251261"
"Ciências Biológicas","Bioquímica","Proteínas","2238914523"
"Engenharias","Engenharia Civil","Materiais e Componentes de Construção","2232531659"
"Não informado","Não informado","Não informado","2177025580"
"Engenharias","Engenharia Química","Engenharia Química","2171736311"
"Engenharias","Engenharia Mecânica","Mecânica dos Fluídos","2163850847"
"Ciências Biológicas","Fisiologia","Neurofisiologia","2160761992"
"Ciências da Saúde","Odontologia","Odontopediatria","2146172480"
"Ciências da Saúde","Odontologia","Odontologia Social e Preventiva","2138519096"
"Engenharias","Engenharia Aeroespacial","Propulsão Aeroespacial","2132755726"
"Ciências Exatas e da Terra","Ciência da Computação","Ciência da Computação","2123916392"
"Ciências Exatas e da Terra","Química","Análise de Traços e Química Ambiental","2103625132"
"Ciências da Saúde","Farmácia","Farmácia clínica, assistência e atenção farmacêuticas","2069839787"
"Lingüística, Letras e Artes","Letras","Outras Literaturas Vernáculas","2059716808"
"Engenharias","Engenharia Elétrica","Circuitos Eletrônicos","2046498892"
"Engenharias","Engenharia de Materiais e Metalúrgica","Metalurgia Extrativa","2042933386"
"Engenharias","Engenharia Elétrica","Circuitos Elétricos, Magnéticos e Eletrônicos","2007351074"
"Ciências Agrárias","Engenharia Agrícola","Máquinas e Implementos Agrícolas","1979597195"
"Ciências Biológicas","Bioquímica","Bioquímica","1965513543"
"Ciências Humanas","Sociologia","Sociologia Urbana","1950377405"
"Lingüística, Letras e Artes","Letras","Línguas Estrangeiras Modernas","1948382951"
"Ciências Biológicas","Biofísica","Biofísica Celular","1938907453"
"Ciências da Saúde","Medicina","Medicina","1929943494"
"Ciências da Saúde","Enfermagem","Enfermagem Psiquiátrica","1916739536"
"Ciências Biológicas","Morfologia","Embriologia","1912439232"
"Ciências Humanas","Educação","Educação","1890076117"
"Ciências Exatas e da Terra","Ciência da Computação","Linguagens de Programação","1884869925"
"Ciências da Saúde","Medicina","Hematologia","1881216715"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Planejamento e Projeto do Espaço Urbano","1873012407"
